Group,Sub Group,Item No.,MBS Item No.,Units,Description,MBS Fee,MBS Units,MBS Fee Note,Note,Has other modifier,Has time modifer
Anaesthesia / Burns,,CR878,21878,3,"ANAESTHESIA for excision or debridement of burns, with or without skin grafting - where the area of burn involves not more than 3% of total body surface",67.65,3,0,,TRUE,TRUE
Anaesthesia / Burns,,CR879,21879,5,where the area of burn involves more than 3% but less than 10% of total body surface,112.75,5,0,,TRUE,TRUE
Anaesthesia / Burns,,CR880,21880,7,where the area of burn involves 10% or more but less than 20% of total body surface,157.85,7,0,,TRUE,TRUE
Anaesthesia / Burns,,CR881,21881,9,where the area of burn involves 20% or more but less than 30% of total body surface,202.95,9,0,,TRUE,TRUE
Anaesthesia / Burns,,CR882,21882,11,where the area of burn involves 30% or more but less than 40% of total body surface,248.05,11,0,,TRUE,TRUE
Anaesthesia / Burns,,CR883,21883,13,where the area of burn involves 40% or more but less than 50% of total body surface,293.15,13,0,,TRUE,TRUE
Anaesthesia / Burns,,CR884,21884,15,where the area of burn involves 50% or more but less than 60% of total body surface,338.25,15,0,,TRUE,TRUE
Anaesthesia / Burns,,CR885,21885,17,where the area of burn involves 60% or more but less than 70% of total body surface,383.35,17,0,,TRUE,TRUE
Anaesthesia / Burns,,CR886,21886,19,where the area of burn involves 70% or more but less than 80% of total body surface,428.45,19,0,,TRUE,TRUE
Anaesthesia / Burns,,CR887,21887,21,where the area of burn involves 80% or more of total body surface,473.55,21,0,,TRUE,TRUE
"Anaesthesia / Forearm, Wrist and Hand",Skin/Soft Tissue,CR800,21800,3,"ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the forearm, wrist or hand",67.65,3,0,,TRUE,TRUE
"Anaesthesia / Forearm, Wrist and Hand",Skin/Soft Tissue,CR810,21810,4,"all procedures on the nerves, muscles, tendons, fascia or bursae of the forearm, wrist or hand",90.2,4,0,,TRUE,TRUE
"Anaesthesia / Forearm, Wrist and Hand",Forearm/Wrist/Hand,CR820,21820,3,"ANAESTHESIA for all closed procedures on the radius, ulna, wrist, or hand bones*",67.65,3,0,"* The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other ‘closed’ procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,TRUE
"Anaesthesia / Forearm, Wrist and Hand",Forearm/Wrist/Hand,CR830,21830,4,"all open procedures on the radius, ulna, wrist, or hand bones unless otherwise specified",90.2,4,0,,TRUE,TRUE
"Anaesthesia / Forearm, Wrist and Hand",Forearm/Wrist/Hand,CR832,21832,7,total wrist replacement,157.85,7,0,,TRUE,TRUE
"Anaesthesia / Forearm, Wrist and Hand",Forearm/Wrist/Hand,CR834,21834,4,arthroscopic procedures of the wrist joint,90.2,4,0,,TRUE,TRUE
"Anaesthesia / Forearm, Wrist and Hand",Forearm/Wrist/Hand,CR860,21860,3,"forearm, wrist, or hand cast application, removal, or repair*",67.65,3,0,"* The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other ‘closed’ procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,TRUE
"Anaesthesia / Forearm, Wrist and Hand",Vascular/Microsurgery,CR840,21840,8,"ANAESTHESIA for all procedures on the arteries of the forearm, wrist, or hand unless otherwise specified",180.4,8,0,,TRUE,TRUE
"Anaesthesia / Forearm, Wrist and Hand",Vascular/Microsurgery,CR842,21842,6,"embolectomy of artery of forearm, wrist or hand",135.3,6,0,,TRUE,TRUE
"Anaesthesia / Forearm, Wrist and Hand",Vascular/Microsurgery,CR850,21850,4,"all procedures on the veins of the forearm, wrist or hand unless otherwise specified",90.2,4,0,,TRUE,TRUE
"Anaesthesia / Forearm, Wrist and Hand",Vascular/Microsurgery,CR865,21865,12,"microvascular free tissue flap surgery involving the forearm, wrist or hand",225.5,10,0,,TRUE,TRUE
"Anaesthesia / Forearm, Wrist and Hand",Vascular/Microsurgery,CR870,21870,15,"microsurgical reimplantation of the forearm, wrist or hand",338.25,15,0,,TRUE,TRUE
"Anaesthesia / Forearm, Wrist and Hand",Vascular/Microsurgery,CR872,21872,8,microsurgical reimplantation of a finger,180.4,8,0,,TRUE,TRUE
Anaesthesia / Head,Eyes,CA149,,6,surgery for glaucoma,,,,,TRUE,TRUE
Anaesthesia / Head,Eyes,CA150,,9,"repair of open eye injury, excluding magnetic removal of foreign body but including non-magnetic removal of DEEP foreign body",,,,,TRUE,TRUE
Anaesthesia / Head,Eyes,CA152,,6,"enucleation or evisceration of the eye, or orbital exenteration",,,,,TRUE,TRUE
Anaesthesia / Head,General,CA100,20100,5,"ANAESTHESIA for all procedures on the skin, subcutaneous tissue, muscles, salivary glands or superficial vessels of the head including biopsy unless otherwise specified",112.75,5,0,,TRUE,TRUE
Anaesthesia / Head,General,CA102,20102,6,plastic repair of cleft lip,135.3,6,0,,TRUE,TRUE
Anaesthesia / Head,General,CA104,20104,4,electroconvulsive therapy,90.2,4,0,,TRUE,TRUE
Anaesthesia / Head,Ears,CA120,20120,5,"ANAESTHESIA for all procedures on external, middle or inner ear, including biopsy unless otherwise specified",112.75,5,0,,TRUE,TRUE
Anaesthesia / Head,Ears,CA124,20124,4,otoscopy,90.2,4,0,,TRUE,TRUE
Anaesthesia / Head,Eyes,CA140,20140,5,ANAESTHESIA for all procedures on eye unless otherwise specified,112.75,5,0,,TRUE,TRUE
Anaesthesia / Head,Eyes,CA142,20142,5,lens surgery,112.75,5,0,,TRUE,TRUE
Anaesthesia / Head,Eyes,CA143,20143,8,retinal surgery,135.3,6,0,,TRUE,TRUE
Anaesthesia / Head,Eyes,CA144,20144,7,corneal transplant,157.85,7,0,,TRUE,TRUE
Anaesthesia / Head,Eyes,CA145,20145,7,vitrectomy,157.85,7,0,,TRUE,TRUE
Anaesthesia / Head,Eyes,CA146,20146,5,biopsy of conjunctiva,112.75,5,0,,TRUE,TRUE
Anaesthesia / Head,Eyes,CA147,20147,6,squint repair or other operation intrinsically involving extraocular muscles. MBS Item 20147 reads only as 'squint repair'.,135.3,6,0,,TRUE,TRUE
Anaesthesia / Head,Eyes,CA148,20148,4,ophthalmoscopy,90.2,4,0,,TRUE,TRUE
Anaesthesia / Head,Eyes,CA156,20192,10,radical surgery involving BOTH the eye and/or its muscles AND orbital bone,225.5,10,0,20192 may apply,TRUE,TRUE
Anaesthesia / Head,Nose/Sinuses,CA160,20160,6,ANAESTHESIA for all intranasal procedures on nose or accessory sinuses unless otherwise specified,135.3,6,0,,TRUE,TRUE
Anaesthesia / Head,Nose/Sinuses,CA162,20162,7,intranasal surgery for malignancy or for intranasal ablation,157.85,7,0,,TRUE,TRUE
Anaesthesia / Head,Nose/Sinuses,CA164,20164,4,"biopsy, soft tissue of nose or accessory sinuses",90.2,4,0,,TRUE,TRUE
Anaesthesia / Head,Intra-oral,CA170,20170,6,ANAESTHESIA for all intra-oral procedures (including biopsy) unless otherwise specified,135.3,6,0,,TRUE,TRUE
Anaesthesia / Head,Intra-oral,CA172,20172,7,repair of cleft palate,157.85,7,0,,TRUE,TRUE
Anaesthesia / Head,Intra-oral,CA174,20174,9,excision of retropharyngeal tumour,202.95,9,0,,TRUE,TRUE
Anaesthesia / Head,Intra-oral,CA176,20176,10,radical intraoral surgery,225.5,10,0,,TRUE,TRUE
Anaesthesia / Head,Dental,CA170,22900,6,INITIATION OF MANAGEMENT BY A MEDICAL PRACTITIONER OF ANAESTHESIA for extraction of tooth or teeth with or without incision of soft tissue or removal of bone (6 basic units) Not necessary in ASA RVG - covered by Item CA170,135.3,6,0,,TRUE,TRUE
Anaesthesia / Head,Dental,CA170,22905,6,INITIATION OF MANAGEMENT BY A MEDICAL PRACTITIONER OF ANAESTHESIA for restorative dental work (6 basic units) Not necessary in ASA RVG - covered by Item CA170,135.3,6,0,,TRUE,TRUE
Anaesthesia / Head,Facial Bones,CA190,20190,5,ANAESTHESIA for all procedures on facial bones unless otherwise specified,112.75,5,0,,TRUE,TRUE
Anaesthesia / Head,Facial Bones,CA192,20192,10,extensive surgery on facial bones including prognathism and extensive facial bone reconstruction,225.5,10,0,"With regard to Item CA192, an “extensive” procedure denotes major facial bone surgery or reconstruction, including major resection; osteotomies or osteectomies of mandibles and/or maxillae; surgery for prognathism; or surgery for Le Fort II or III fractures.",TRUE,TRUE
Anaesthesia / Head,Intra-cranial,CA210,20210,15,ANAESTHESIA for all intracranial procedures unless otherwise specified,338.25,15,0,,TRUE,TRUE
Anaesthesia / Head,Intra-cranial,CA212,20212,5,subdural taps,112.75,5,0,,TRUE,TRUE
Anaesthesia / Head,Intra-cranial,CA214,20214,9,burr holes,202.95,9,0,,TRUE,TRUE
Anaesthesia / Head,Intra-cranial,CA216,20216,20,intracranial vascular procedures including those for aneurysms and arterio-venous abnormalities,451,20,0,,TRUE,TRUE
Anaesthesia / Head,Intra-cranial,CA220,20220,10,spinal fluid shunt procedures,225.5,10,0,,TRUE,TRUE
Anaesthesia / Head,Intra-cranial,CA222,20222,6,ablation of an intracranial nerve,135.3,6,0,,TRUE,TRUE
Anaesthesia / Head,Miscellaneous,CA225,20225,12,ANAESTHESIA for all cranial bone procedures,270.6,12,0,,TRUE,TRUE
Anaesthesia / Head,Miscellaneous,CA230,20230,12,microvasular free tissue flap surgery involving the head or face,270.6,12,0,,TRUE,TRUE
Anaesthesia / Intrathoracic,Heart,CD580,,20,heart transplant,,,,,TRUE,TRUE
Anaesthesia / Intrathoracic,Heart,CD582,,20,heart and lung transplant,,,,,TRUE,TRUE
Anaesthesia / Intrathoracic,Heart,CD584,,8,cadaver harvesting of heart and/or lungs,,,,,TRUE,TRUE
Anaesthesia / Intrathoracic,Oesophagus,CD500,20500,15,ANAESTHESIA for open procedures on the oesophagus,338.25,15,0,,TRUE,TRUE
Anaesthesia / Intrathoracic,Closed Chest,CD520,20520,6,ANAESTHESIA for all closed chest procedures (including rigid oesophagoscopy or bronchoscopy) unless otherwise specified,135.3,6,0,,TRUE,TRUE
Anaesthesia / Intrathoracic,Closed Chest,CD522,20522,4,needle biopsy of pleura,90.2,4,0,,TRUE,TRUE
Anaesthesia / Intrathoracic,Closed Chest,CD524,20524,4,pneumocentesis,90.2,4,0,,TRUE,TRUE
Anaesthesia / Intrathoracic,Closed Chest,CD526,20526,10,thoracoscopy,225.5,10,0,,TRUE,TRUE
Anaesthesia / Intrathoracic,Closed Chest,CD528,20528,8,mediastinoscopy,180.4,8,0,,TRUE,TRUE
Anaesthesia / Intrathoracic,Thoractomy,CD540,20540,13,"ANAESTHESIA for all thoracotomy procedures involving lungs, pleura, diaphragm, or mediastinum unless otherwise specified",293.15,13,0,,TRUE,TRUE
Anaesthesia / Intrathoracic,Thoractomy,CD542,20542,15,pulmonary decortication,338.25,15,0,,TRUE,TRUE
Anaesthesia / Intrathoracic,Thoractomy,CD546,20546,15,pulmonary resection with thoracoplasty,338.25,15,0,,TRUE,TRUE
Anaesthesia / Intrathoracic,Thoractomy,CD548,20548,15,intrathoracic repair of trauma to trachea and bronchi,338.25,15,0,,TRUE,TRUE
Anaesthesia / Intrathoracic,Heart,CD560,20560,20,"ANAESTHESIA for all open procedures on the heart, pericardium, or great vessels of the chest*",451,20,0,"* The MBS descriptor for item 20560 has the additional wording “or percutaneous insertion of a valvular prosthesis”. ASA item CD570 covers this service, although it currently has no MBS equivalent",TRUE,TRUE
Anaesthesia / Intrathoracic,Heart,CD565,,20,percutaneous surgical procedures performed on the thoracic aorta,,,,CD565 increased from 15 to 20 1 April 2024,TRUE,TRUE
Anaesthesia / Intrathoracic,Heart,CD570,,20,percutaneous replacement of a heart valve,,,,CD570 increased from 15 to 20 1 April 2024,TRUE,TRUE
Anaesthesia / Intrathoracic,Closed Chest,CD525,,4,insertion of intercostal catheter and/or drain,,,,CD525 added 1 April 2024,TRUE,TRUE
Anaesthesia / Intrathoracic,Closed Chest,CD575,,8,percutaneous procedures on the pericardium,,,,CD575 added 1 April 2024,TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Skin/Soft Tissue,CL300,21300,3,ANAESTHESIA for all procedures on the skin and subcutaneous tissue of the knee and/or popliteal area,67.65,3,0,,TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Skin/Soft Tissue,CL321,21321,4,"all procedures on the nerves, muscles, tendons, fascia or bursae of the knee and/or popliteal area",90.2,4,0,,TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Femur (Lower 1/3),CL340,21340,4,ANAESTHESIA for all closed procedures on the lower 1/3 of the femur*,90.2,4,0,"* The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other ‘closed’ procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Femur (Lower 1/3),CL360,21360,5,all open procedures on the lower 1/3 of the femur,112.75,5,0,,TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Knee,CL380,21380,3,ANAESTHESIA for all closed procedures on the knee joint*,67.65,3,0,"* The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other ‘closed’ procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Knee,CL382,21382,4,arthroscopic procedures of the knee joint,90.2,4,0,,TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Knee,CL400,21400,4,open procedures on the knee joint unless otherwise specified,90.2,4,0,,TRUE,TRUE
