Category,Subcategory,Item Number,Item Description,Schedule Fee,,,,,,,,
Anaesthesia / Burns,,CR878,"ANAESTHESIA for excision or debridement of burns, with or without skin grafting - where the area of burn involves not more than 3% of total body surface",67.65,,,Anaesthesia / Burns,,,,,
Anaesthesia / Burns,,CR879,where the area of burn involves more than 3% but less than 10% of total body surface,112.75,,,Anaesthesia / Burns,,,,,0
Anaesthesia / Burns,,CR880,where the area of burn involves 10% or more but less than 20% of total body surface,157.85,,,Anaesthesia / Burns,,,,,Skin/Soft Tissue
Anaesthesia / Burns,,CR881,where the area of burn involves 20% or more but less than 30% of total body surface,202.95,,,Anaesthesia / Burns,,,,,Forearm/Wrist/Hand
Anaesthesia / Burns,,CR882,where the area of burn involves 30% or more but less than 40% of total body surface,248.05,,,Anaesthesia / Burns,,,,,Vascular/Microsurgery
Anaesthesia / Burns,,CR883,where the area of burn involves 40% or more but less than 50% of total body surface,293.15,,,Anaesthesia / Burns,,,,,Eyes
Anaesthesia / Burns,,CR884,where the area of burn involves 50% or more but less than 60% of total body surface,338.25,,,Anaesthesia / Burns,,,,,General
Anaesthesia / Burns,,CR885,where the area of burn involves 60% or more but less than 70% of total body surface,383.35,,,Anaesthesia / Burns,,,,,Ears
Anaesthesia / Burns,,CR886,where the area of burn involves 70% or more but less than 80% of total body surface,428.45,,,Anaesthesia / Burns,,,,,Nose/Sinuses
Anaesthesia / Burns,,CR887,where the area of burn involves 80% or more of total body surface,473.55,,,Anaesthesia / Burns,,,,,Intra-oral
"Anaesthesia / Forearm, Wrist and Hand",Skin/Soft Tissue,CR800,"ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the forearm, wrist or hand",67.65,,,"Anaesthesia / Forearm, Wrist and HandSkin/Soft Tissue",,,,,Dental
"Anaesthesia / Forearm, Wrist and Hand",Skin/Soft Tissue,CR810,"all procedures on the nerves, muscles, tendons, fascia or bursae of the forearm, wrist or hand",90.2,,,"Anaesthesia / Forearm, Wrist and HandSkin/Soft Tissue",,,,,Facial Bones
